date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:04:02%20GMT	https://www.brrsoftwares.com/robots.txt		(from )
11:34:04	44499/44499	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2014:27:20%20GMT	https://www.brrsoftwares.com/	C:/brrReplica/brr/www.brrsoftwares.com/index.html	(from )
11:34:06	11458/11458	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2015:11:03%20GMT	https://brrsoftwares.com/assets/img/logo/brr_softwares_whatsapp_link_icon.png	C:/brrReplica/brr/brrsoftwares.com/assets/img/logo/brr_softwares_whatsapp_link_icon.png	(from https://www.brrsoftwares.com/)
11:34:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:04:07%20GMT	https://www.brrsoftwares.com/site.webmanifest	C:/brrReplica/brr/www.brrsoftwares.com/site.1.delayed	(from https://www.brrsoftwares.com/)
11:34:08	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Fri,%2009%20Oct%202020%2013:13:35%20GMT	https://www.brrsoftwares.com/assets/img/favicon.ico	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/favicon.ico	(from https://www.brrsoftwares.com/)
11:34:10	140936/140936	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:58%20GMT	https://www.brrsoftwares.com/assets/css/bootstrap.min.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/bootstrap.min.css	(from https://www.brrsoftwares.com/)
11:34:10	2936/2936	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:59%20GMT	https://www.brrsoftwares.com/assets/css/owl.carousel.min.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/owl.carousel.min.css	(from https://www.brrsoftwares.com/)
11:34:11	5732/5732	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:45:00%20GMT	https://www.brrsoftwares.com/assets/css/slicknav.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/slicknav.css	(from https://www.brrsoftwares.com/)
11:34:13	975/975	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:59%20GMT	https://www.brrsoftwares.com/assets/css/flaticon.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/flaticon.css	(from https://www.brrsoftwares.com/)
11:34:14	56048/56048	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:57%20GMT	https://www.brrsoftwares.com/assets/css/animate.min.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/animate.min.css	(from https://www.brrsoftwares.com/)
11:34:15	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:59%20GMT	https://www.brrsoftwares.com/assets/css/magnific-popup.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/magnific-popup.css	(from https://www.brrsoftwares.com/)
11:34:16	34680/34680	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:44:59%20GMT	https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/fontawesome-all.min.css	(from https://www.brrsoftwares.com/)
11:34:18	16452/16452	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:45:02%20GMT	https://www.brrsoftwares.com/assets/css/themify-icons.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/themify-icons.css	(from https://www.brrsoftwares.com/)
11:34:19	1776/1776	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:45:00%20GMT	https://www.brrsoftwares.com/assets/css/slick.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/slick.css	(from https://www.brrsoftwares.com/)
11:34:20	4007/4007	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:45:00%20GMT	https://www.brrsoftwares.com/assets/css/nice-select.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/nice-select.css	(from https://www.brrsoftwares.com/)
11:34:22	1960/1960	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2009:31:12%20GMT	https://www.brrsoftwares.com/assets/css/login.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/login.css	(from https://www.brrsoftwares.com/)
11:34:22	218774/218774	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2012:45:01%20GMT	https://www.brrsoftwares.com/assets/css/style.css	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/style.css	(from https://www.brrsoftwares.com/)
11:34:23	29303/29303	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Aug%202020%2013:07:00%20GMT	https://www.brrsoftwares.com/assets/img/logo/brr-loader.png	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/logo/brr-loader.png	(from https://www.brrsoftwares.com/)
11:34:25	29416/29416	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:35:34%20GMT	https://www.brrsoftwares.com/about.html	C:/brrReplica/brr/www.brrsoftwares.com/about.html	(from https://www.brrsoftwares.com/)
11:34:26	17617/17617	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2009:42:42%20GMT	https://www.brrsoftwares.com/login.html	C:/brrReplica/brr/www.brrsoftwares.com/login.html	(from https://www.brrsoftwares.com/)
11:34:27	44499/44499	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2014:27:20%20GMT	https://www.brrsoftwares.com/index.html	C:/brrReplica/brr/www.brrsoftwares.com/index-2.html	(from https://www.brrsoftwares.com/)
11:34:28	11895/11895	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Aug%202020%2013:07:00%20GMT	https://www.brrsoftwares.com/assets/img/logo/brr-logo-v1.png	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/logo/brr-logo-v1.png	(from https://www.brrsoftwares.com/)
11:34:30	25025/25025	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:38:38%20GMT	https://www.brrsoftwares.com/services.html	C:/brrReplica/brr/www.brrsoftwares.com/services.html	(from https://www.brrsoftwares.com/)
11:34:32	46935/46935	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:36:41%20GMT	https://www.brrsoftwares.com/careers.html	C:/brrReplica/brr/www.brrsoftwares.com/careers.html	(from https://www.brrsoftwares.com/)
11:34:32	29356/29356	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:37:11%20GMT	https://www.brrsoftwares.com/cbp_details.html	C:/brrReplica/brr/www.brrsoftwares.com/cbp_details.html	(from https://www.brrsoftwares.com/)
11:34:34	29411/29411	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:57:39%20GMT	https://www.brrsoftwares.com/cbp_bca_bsc.html	C:/brrReplica/brr/www.brrsoftwares.com/cbp_bca_bsc.html	(from https://www.brrsoftwares.com/)
11:34:35	79039/79039	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:38:23%20GMT	https://www.brrsoftwares.com/recruitment.html	C:/brrReplica/brr/www.brrsoftwares.com/recruitment.html	(from https://www.brrsoftwares.com/)
11:34:37	30019/30019	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Dec%202020%2011:37:43%20GMT	https://www.brrsoftwares.com/covid-19.html	C:/brrReplica/brr/www.brrsoftwares.com/covid-19.html	(from https://www.brrsoftwares.com/)
11:34:39	51741/51741	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202021%2004:45:43%20GMT	https://www.brrsoftwares.com/contact.html	C:/brrReplica/brr/www.brrsoftwares.com/contact.html	(from https://www.brrsoftwares.com/)
11:34:41	110273/110273	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2013:08:09%20GMT	https://www.brrsoftwares.com/assets/img/gallery/section_bg02.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/gallery/section_bg02.jpg	(from https://www.brrsoftwares.com/)
11:34:43	465713/465713	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Aug%202020%2013:08:08%20GMT	https://www.brrsoftwares.com/assets/img/gallery/about.png	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/gallery/about.png	(from https://www.brrsoftwares.com/)
11:34:44	116483/116483	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2013:08:08%20GMT	https://www.brrsoftwares.com/assets/img/gallery/footer_bg.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/gallery/footer_bg.jpg	(from https://www.brrsoftwares.com/)
11:34:44	8636/8636	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:53%20GMT	https://www.brrsoftwares.com/assets/js/vendor/modernizr-3.5.0.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/vendor/modernizr-3.5.0.min.js	(from https://www.brrsoftwares.com/)
11:34:46	97163/97163	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:53%20GMT	https://www.brrsoftwares.com/assets/js/vendor/jquery-1.12.4.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/vendor/jquery-1.12.4.min.js	(from https://www.brrsoftwares.com/)
11:34:47	19188/19188	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/popper.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/popper.min.js	(from https://www.brrsoftwares.com/)
11:34:48	48944/48944	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:25%20GMT	https://www.brrsoftwares.com/assets/js/bootstrap.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/bootstrap.min.js	(from https://www.brrsoftwares.com/)
11:34:49	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.slicknav.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.slicknav.min.js	(from https://www.brrsoftwares.com/)
11:34:51	42766/42766	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/owl.carousel.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/owl.carousel.min.js	(from https://www.brrsoftwares.com/)
11:34:52	42863/42863	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:28%20GMT	https://www.brrsoftwares.com/assets/js/slick.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/slick.min.js	(from https://www.brrsoftwares.com/)
11:34:53	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:28%20GMT	https://www.brrsoftwares.com/assets/js/wow.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/wow.min.js	(from https://www.brrsoftwares.com/)
11:34:54	5532/5532	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:24%20GMT	https://www.brrsoftwares.com/assets/js/animated.headline.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/animated.headline.js	(from https://www.brrsoftwares.com/)
11:34:55	20216/20216	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.magnific-popup.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.magnific-popup.js	(from https://www.brrsoftwares.com/)
11:34:56	2942/2942	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.nice-select.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.nice-select.min.js	(from https://www.brrsoftwares.com/)
11:34:57	10085/10085	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.sticky.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.sticky.js	(from https://www.brrsoftwares.com/)
11:34:58	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-1f6c%22	http://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	C:/brrReplica/brr/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from https://www.brrsoftwares.com/)
11:34:59	1067/1067	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.counterup.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.counterup.min.js	(from https://www.brrsoftwares.com/)
11:35:02	3108/3108	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:25%20GMT	https://www.brrsoftwares.com/assets/js/contact.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/contact.js	(from https://www.brrsoftwares.com/)
11:35:03	41095/41095	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.form.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.form.js	(from https://www.brrsoftwares.com/)
11:35:05	21068/21068	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.validate.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.validate.min.js	(from https://www.brrsoftwares.com/)
11:35:06	1230/1230	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/mail-script.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/mail-script.js	(from https://www.brrsoftwares.com/)
